alpha,ids
0.8167200761438833,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'PDBYGZ' 'IJ9RIQ' 'FWOZZ1']
0.8029031203951722,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'GNX0G3' 'H69EMW' 'VCRZYZ']
0.8151105772207577,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'J1HADE' 'O294S1' 'FW0F2M']
0.8048748129809211,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VELH3W' 'XG3ZQJ' 'YJWJLV']
0.76899996006471,['HDULEH' 'NAC6N1' 'U2T1C7' ... '8OJLTE' 'MOBVBC' 'RVXGH3']
0.8277963690470151,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BD55NO' '2WGCQ4' '9FVNAB']
0.8210977518296718,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'G09OD4' 'C1GCCP' '7HQZXK']
0.8146137730566692,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BYHVG9' 'PHFY8S' '91Q9SR']
0.8305348111595403,['HDULEH' 'NAC6N1' 'U2T1C7' ... '2IM33L' 'MTO35S' '1FM03Z']
0.822393383985604,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'YUP9II' 'H9R5ET' 'VCXA2G']
0.7918738416331953,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'SMD87Z' 'K0H5DN' 'XYN360']
0.7962354000526549,['HDULEH' 'NAC6N1' 'U2T1C7' ... '0RXFW1' 'AL05L4' 'KRTE3P']
0.8218327536560157,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'B5E83E' 'YF3S3W' '102L0Q']
0.7808529630636808,['HDULEH' 'NAC6N1' 'U2T1C7' ... '7M61H8' '2ZMJ6C' 'TCMDOV']
0.8351090273664121,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'OAKKH9' 'EXKA0S' 'FCT7AL']
0.8079919291227209,['HDULEH' 'NAC6N1' 'U2T1C7' ... '5J27IG' '2PE13K' 'E5CC21']
0.8373174525666854,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'MBA3G1' 'FVKKZK' 'I5V6FG']
0.8183799373705188,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'CS9NKS' 'XRR9AO' 'V9VV92']
0.8278330905137605,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'Q6WMCP' 'UXKV0C' '78G3HG']
0.786388443856467,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'Y73L92' 'DZOE3P' '2ZFY63']
0.796230171258386,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'A3OMCL' '3TIC7R' '9N9QK0']
0.8190111804262206,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'Q9DQK3' 'IJHFLE' 'SRZ3M2']
0.8366441020643494,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'XYDRBQ' 'RTUZUK' '4WDZ33']
0.8112484073873966,['HDULEH' 'NAC6N1' 'U2T1C7' ... '7T1EW9' 'WGQLMQ' 'EQUPR3']
0.8120288534223045,['HDULEH' 'NAC6N1' 'U2T1C7' ... '9K0SOI' 'Z164JF' 'OHM5TX']
0.8118125683986883,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'LV9V1E' '4Q2CW1' '940ZMY']
0.8041116412749677,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'FLO8WI' 'FUHXQG' 'KCU00Z']
0.8130173669716635,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'H7MAH4' 'BRDCAH' 'RCVJ0T']
0.7847418986626108,['HDULEH' 'NAC6N1' 'U2T1C7' ... '118RK2' 'PUZHUT' 'TYU8HO']
0.8290263482126088,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'XRR9AO' '6Z6DXI' '2J0KMN']
0.8165438058773855,['HDULEH' 'NAC6N1' 'U2T1C7' ... '3X1HPN' 'YHYNSO' 'JQ4EM9']
0.8132624648878763,['HDULEH' 'NAC6N1' 'U2T1C7' ... '8LLOQD' '8IFANT' 'ST5FL8']
0.8180841485576619,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'NB12D6' 'YWYPKG' 'VC79VM']
0.8039601861892192,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'N8AFGT' 'AFAJX4' 'JODF2Q']
0.8402576070644014,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'FMLQU4' '2PE13K' '15315A']
0.8257256397446756,['HDULEH' 'NAC6N1' 'U2T1C7' ... '6HR9PB' '4GUYLW' 'XHEXMH']
0.8060048729524544,['HDULEH' 'NAC6N1' 'U2T1C7' ... '56NZY5' 'E8ZL10' 'S6JUIH']
0.8001688055000434,['HDULEH' 'NAC6N1' 'U2T1C7' ... '45L4SM' '6HR9PB' 'JCCUG2']
0.8225937973587335,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'QQH33L' 'DRL0Q0' '1WIEX7']
0.8105953899452966,['HDULEH' 'NAC6N1' 'U2T1C7' ... '4GC7KI' '7W3C87' '17XI12']
0.7823617537412652,['HDULEH' 'NAC6N1' 'U2T1C7' ... '4A1T2F' '2XAPQR' '8I9D3F']
0.8247468919918404,['HDULEH' 'NAC6N1' 'U2T1C7' ... '71DB6K' 'G472R9' 'ACCZA8']
0.795244023092305,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'UZT4UI' '1LZFIK' 'TCY2WB']
0.8182186466806887,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'BRDCAH' 'CVGXKN' 'W4TWYR']
0.8122604963011905,['HDULEH' 'NAC6N1' 'U2T1C7' ... 'VYFZK3' 'YFPDWQ' '4E3WHI']
