id,frequency
53LSPJ,4175
FLO8WI,4311
4WDZ33,4282
6YILX5,4019
Z164JF,4093
OT4EOH,4297
0BNT80,4377
LL69UU,4072
QW5QOG,4068
LYLO05,4035
OVP1B8,4165
X7HXNW,4067
K3G01K,4085
47BUD0,4063
LEAMKB,4025
B3NVV7,4051
4Q2CW1,4203
IMCTMO,4121
ZFQJC2,4021
CIFCOK,4139
3C3XSZ,4092
0NH2US,4398
2J0KMN,4268
Q6B4XS,4284
OY08GZ,4257
564025,4043
7FJAEN,4036
0G42R2,4054
2ZFY63,4010
AMVPX0,4071
J8HRXY,4154
W7U1PX,4058
UM3PXK,4010
9L3R3Z,4219
MOY444,4132
1FDE11,4366
XO4VOF,4036
OAKKH9,4086
AQPHLG,4106
MDR9BC,4030
O4QSFT,4020
KBPP70,4125
T5U6O9,4067
MLBZRG,4374
0IOB07,4139
2GC7YO,4073
3VW5DX,4008
B9CQAD,4175
R1OH6S,4027
15OYNM,4342
T0CVMT,4115
Z8CP0R,4216
68T7VW,4209
AQ1QM0,4019
V0W6H3,4145
FONBA3,4056
IKOYGG,4246
H3T1XO,4139
O1CIFK,4271
B0A1WL,4005
L3DDHC,4087
G472R9,4399
H64R06,4030
9V3PYJ,4241
5GSHTS,4105
0G40QY,4005
4GUYLW,4167
6NJM2L,4199
IVAP1S,4060
X27HPL,4242
FS7SX2,4173
FOBM63,4077
O8V5M0,4247
K6KTO9,4069
I5V6FG,4373
862X02,4007
H9X3CD,4119
RSJ154,4002
OF2VT0,4267
DFV4BB,4034
Y73L92,4062
4GXFV7,4291
ZNUJF6,4155
W2R5X5,4078
JIC6MG,4252
ALENQG,4058
LGZY7B,4079
WLDBC7,4021
Q56L5Y,4337
A9L9CD,4130
MBEFPX,4198
AD6BM2,4264
E6PNFC,4281
96BBH5,4024
56NZY5,4311
X44PQ5,4020
9FVNAB,4104
23US2I,4119
DIM0LG,4155
5HTX6B,4032
YHYNSO,4243
W98HB9,4297
58P6HY,4323
Q9CLCO,4065
7WSTN9,4298
AC6WUN,4132
Z6HQ86,4082
8OJLTE,4130
5ROYVP,4085
6HWN0L,4044
GLTV85,4119
M61FBH,4133
5T4WJF,4106
L9XE0P,4135
YR9ZMN,4333
E645PU,4214
NDJYF1,4178
DT6VJ9,4307
YO5UIV,4159
87IQL6,4274
KNDGX7,4211
LC7N5Q,4266
O7OR68,4117
BADOD1,4164
8IFANT,4075
1UO67G,4131
B62DMQ,4186
XG3ZQJ,4101
GVZ75T,4097
1V8EBB,4197
Z97W6J,4006
GGLWDN,4024
UL2SLU,4134
BZJUA9,4260
D3PDQG,4095
ODLPXI,4080
YLVP2C,4075
LC19QE,4164
8WZ6O0,4132
R3PMFJ,4178
UXJNF3,4059
OM2AZD,4159
DQE0YJ,4154
ZTEAKC,4558
WWAHKO,4065
MHZPD7,4085
QST4AD,4027
SZGB6B,4024
17XI12,4289
3NORRT,4210
AFJV8Z,4056
S52U06,4158
5KHGBC,4143
ABL1XK,4233
DEGFBM,4005
G2X9J4,4085
YG02FL,4033
6H23C1,4209
1O4PQQ,4353
IWDT1O,4403
3FXNZN,4362
J36NU6,4132
SR8AMU,4017
EA7JK1,4307
VZ4LZ6,4100
3F8KRI,4238
5MEDFG,4054
UZT4UI,4103
XZIW0R,4159
922BM8,4353
441AMF,4007
SMD87Z,4309
YZNYKU,4152
RT1MH6,4231
3UEIT2,4213
6Z6DXI,4357
6V7URD,4251
1K2KZZ,4193
S0BWPT,4047
NCLHA4,4159
S7YXP1,4286
JVOX3F,4255
EZFVK2,4017
2YFUSB,4228
ACCZA8,4280
18DRG6,4108
K21HIL,4111
5ZT0CB,4116
4QRT8U,4306
MGE8J5,4063
0FOSYI,4156
6R8SMV,4257
JE6TPO,4126
80EZ16,4063
EDRQ3M,4151
JFIPHC,4101
5BWLHZ,4323
AJSXK4,4269
XAR3NP,4155
5J27IG,4104
XI99CY,4088
6QTA3U,4132
AHBI71,4047
C46LR1,4177
557PGA,4079
ZESFPG,4053
CY1GZT,4376
C6X8WX,4452
UBT2B9,4190
2IM33L,4027
RW0OBO,4004
8ROCZF,4306
NG3F32,4006
53RBO2,4410
8JXALH,4102
MOBVBC,4125
IKQ5K4,4147
3YQJKU,4135
MAPI47,4056
PW2VO3,4118
FWMII2,4080
MCSP88,4234
SPCHYI,4123
QDI5NN,4310
JBSLYH,4110
QQH33L,4102
WFYTEI,4006
NNY3QI,4064
WGQLMQ,4203
X125VU,4192
QMHR2R,4165
P9AFWO,4169
NS21FF,4230
WQP5SZ,4354
R9REY0,4378
NZVDDR,4026
6XRI79,4154
6RCIRZ,4107
BH5JHL,4254
DD0S7M,4046
Y0LPNC,4162
D5YM4U,4089
6YU9NK,4091
076RR7,4275
75VMH6,4005
2I1YL0,4198
FBP4YE,4182
TSKTRS,4025
WJO6G8,4119
PHFY8S,4040
PEWWN4,4135
ISH5CD,4231
MXJL5L,4395
D1PA67,4181
W563OR,4126
0XP18U,4270
781QLG,4100
WZ554S,4218
6BPW2O,4062
KCN0O2,4297
8KXOTH,4103
T4QMX8,4301
N48AJL,4132
BLESPI,4459
I0E2GW,4012
M25Q22,4147
YWYPKG,4222
Z1DLJQ,4359
PF2PVP,4313
79DZC0,4307
U57EH5,4219
FQNB8S,4021
I2AZ06,4166
9K0SOI,4260
0ADZ9W,4149
MLE1R8,4111
8YMIHS,4212
4ZPI0W,4040
UUHYY8,4496
QL33GN,4015
5YCYNE,4056
1KHY22,4309
8Y0C7C,4011
RTUZUK,4002
102L0Q,4264
XRPI7G,4157
QL2WLD,4001
TH74S1,4034
2RKT5S,4246
9JRUMW,4018
VZ1HSX,4238
9ZUHRI,4309
9243LW,4001
MW0997,4338
C7VZ1P,4085
8BFDLM,4335
MDITAA,4067
ZOPAB1,4265
HLKGA8,4015
Q51CZT,4044
8VMO9L,4036
CSDYMY,4433
VJBA07,4046
C938XL,4106
98W84E,4370
K3Y8SF,4150
1QZ2W9,4222
MQE7WO,4050
B9LAHH,4092
A3V1AB,4218
WY6RW7,4342
TX2024,4149
Z5IQ4H,4155
CUKEIZ,4415
ESIFIY,4091
P3SIHR,4118
ZGF2TZ,4229
GLAXRC,4106
PIEK9M,4127
V523JX,4170
NQGQCG,4298
7DCAIU,4167
7T3RLP,4078
R6K3NN,4056
TV7ZJD,4453
D16FDQ,4246
9UJ390,4009
HC0YJT,4302
3ZCP47,4098
XIUR3F,4109
5GA790,4126
M3BPGH,4087
5Z0WT4,4068
1W2PF7,4096
XKODWK,4080
D4QODF,4078
S6JUIH,4116
CVGXKN,4160
V496TK,4071
YDSA7B,4536
A2T0EB,4079
P6KMYH,4115
G3AVG8,4308
5N8NVC,4513
ETGDV4,4417
ZQP63V,4137
HWLZKP,4060
QQCUFC,4185
R3NH2K,4222
WUW1GT,4334
CZK9J4,4225
52QJ8T,4135
80U8KY,4225
YCYRIP,4069
VQGN83,4025
Q9Q06N,4149
4PYLXP,4032
KCFG2F,4101
H4L317,4079
EKH1SZ,4322
6A83R9,4014
DKVPET,4348
9XFBEC,4071
CZBR14,4364
DIC3QA,4169
0139FS,4125
05Q82K,4048
I0PWP4,4335
BI1LF1,4077
53T14O,4102
OV9JPS,4010
4FIFGG,4218
5IAON7,4227
V8AX7D,4039
0JNPQD,4012
20G2RE,4131
1CVKUB,4056
KXS4XL,4019
NRV5XH,4089
UFQMN8,4009
LPM95G,4001
OYU03J,4057
42T6IC,4144
L9W4DY,4303
4A1T2F,4202
IHTNW5,4054
GQXBVP,4193
OIWOM7,4001
2Q88S4,4230
33PHCF,4191
09818D,4186
DZNW4O,4216
N9EBBW,4370
RNUTKT,4201
TZ4VKU,4385
XYDRBQ,4009
44BOBV,4309
7JL9A8,4461
R8W40L,4149
SOR5YF,4195
DZOE3P,4073
J6LXGV,4406
ATVFN8,4016
82XDE7,4244
TX471Q,4276
BLC0AB,4246
KZB7TJ,4048
BDO7UO,4133
LV9V1E,4201
8JWL2R,4014
6RRVHD,4154
YAU95H,4362
QMID7A,4096
GK5YRO,4017
D7HUQY,4284
5BD3LR,4053
ZBPAOV,4253
C1GCCP,4210
40XBN0,4243
9WO7LI,4047
JUELN8,4170
68WFIM,4088
7IO1HN,4075
CQ0NED,4045
ZNOAXG,4319
8XZHVY,4183
77P2UY,4487
T80KD0,4141
4Q2UCP,4384
9VL3T1,4076
YQUDX3,4018
T5JOFW,4087
WDKOM8,4224
D2S095,4351
Z44WBC,4113
C338V4,4233
UY1BJR,4016
53AHEJ,4161
I8ZPED,4144
BVZY8O,4132
FWOZZ1,4559
O6UEIJ,4064
X011KV,4062
GIDQ3P,4306
GNX0G3,4257
4TNA69,4141
U64T09,4454
RRYC5G,4160
M2KL4C,4215
2N7AAS,4018
JHKBUS,4180
UN8POU,4040
E9W7KQ,4059
7R0E9J,4059
6YEMS7,4014
MAB2WB,4033
RK4B9J,4093
940ZMY,4049
NF43PR,4035
IHO22M,4163
2MK53R,4163
Y67VYA,4054
YL3OEP,4216
FIJHAT,4041
PD5IIL,4190
SFEXGH,4239
E5CC21,4157
G09OD4,4361
PO1WPB,4137
KSLTLQ,4228
A39C6E,4040
XPLZM0,4013
V450BO,4023
H7MAH4,4110
KAVA2X,4171
N2QWMH,4088
1RTY62,4124
7QBXHQ,4120
UFQ889,4338
1LZFIK,4133
VYFZK3,4255
EXKA0S,4237
UB8Z93,4251
VSSBXV,4068
ERHR9W,4013
W60HWI,4474
DPDDIH,4078
977RFO,4554
33C7QB,4033
U06C68,4187
YR5Z4H,4112
RL9VZ9,4093
2CU7ZY,4313
K927KP,4100
E1MAAG,4079
IM9QCP,4017
O28GGT,4435
7XFHLX,4155
X02ZTY,4236
LIXQP9,4403
139POA,4014
IIYN8U,4052
PU14F1,4215
GFQQWC,4113
3TW6A4,4406
LXNA8E,4013
1NZVNI,4208
YH5T8X,4015
T8NV0Q,4142
XFSM07,4058
FMLQU4,4026
C4VN2C,4181
C6A7QX,4054
6ETE8H,4359
7HM2Z5,4060
A03EVP,4045
P1MXGZ,4069
D35K68,4333
VJMEMH,4298
NB12D6,4047
I0ANMA,4134
JR9M37,4089
6HY4WV,4081
9V5YRV,4071
UXKV0C,4004
A0EAZU,4244
E5IY2T,4264
ZAM4CF,4053
ON3JN9,4286
BVIJLZ,4207
JYPWGM,4161
1IW0BC,4256
SZ6B14,4407
XSVZ0D,4025
F5UJO8,4010
K7F2ZV,4352
2XUWNM,4218
5ELD9X,4065
EN4YQF,4251
01FUWE,4084
ONMHZ9,4153
6AMLZ8,4110
JO775E,4333
FCT7AL,4283
6J1GC7,4099
3O5BN8,4157
HH4SN3,4247
A2WYN5,4262
KHNNOK,4174
URUECE,4069
AYQ9SS,4059
0GM09D,4038
XHY015,4051
I41NZ6,4109
EKWY4S,4167
0MMPBY,4274
HT4X71,4146
BJBLCD,4071
GS6CUU,4168
1U3B6P,4353
FXTWCC,4184
A2N0PS,4254
QU8NPA,4087
ORR36N,4130
0BY2WC,4086
J0P3XG,4263
6CHYB2,4116
56P4BB,4189
62TC0B,4043
JBX7S9,4158
VKVU2T,4143
ZK7HUS,4051
FOCDWK,4086
0EXTDF,4356
PZ3Q4L,4356
GNI36Z,4071
92G32D,4007
BN9TJU,4012
78G3HG,4001
YHYU85,4020
QWZALP,4020
HVMXGZ,4090
JODF2Q,4131
9WZFD1,4044
27X6PE,4283
CS9NKS,4110
92X34E,4148
WROXGU,4111
N8AFGT,4005
IV14ZY,4217
W5JY3X,4190
TEFESP,4031
BZGLIO,4049
AJDRVO,4160
T0WOJK,4141
1OPSYF,4198
D8V6OI,4033
NFEH33,4282
358FH8,4083
WK3X1N,4384
JAPN5M,4018
V1Y3TI,4061
076E39,4192
LG3953,4027
PQAGZV,4023
KRTE3P,4381
QSLI7R,4285
JKL0FM,4078
5ETL5S,4030
LBZ8RU,4042
DI9VHW,4164
5YNHMI,4192
VQWLBO,4174
3878J3,4147
KTORVI,4250
SKUKQM,4208
GJA732,4157
0WTJZ8,4103
YS1VGV,4419
WU3ZRK,4057
BFRKF9,4154
91Q9SR,4104
IHW3M2,4318
YP57PI,4230
PNWQNL,4049
Y78KD5,4134
VP0FVG,4115
RSVM45,4065
7M61H8,4113
25R4NC,4128
N36HNB,4380
03PX3F,4142
U96OA5,4077
I3YNQD,4131
5B9ZWW,4097
1CRUML,4155
6J4TDI,4168
4FDUMZ,4140
NPNSMB,4051
1XDD8H,4056
48VWJW,4065
15315A,4271
GJZDV3,4302
KBCFC4,4141
8YEXPT,4202
IR5PYM,4146
8QGRSO,4066
