id,frequency
AEWB71,3755
UAAXGA,3860
53LSPJ,4175
FLO8WI,4311
TKCDLW,3789
4WDZ33,4282
S0BPRS,3932
EU9KM9,3978
59HPT0,3951
6YILX5,4019
Z164JF,4093
OT4EOH,4297
0BNT80,4377
J9BL4S,3856
LL69UU,4072
QW5QOG,4068
LYLO05,4035
OVP1B8,4165
X7HXNW,4067
ZH4JWZ,3664
K3G01K,4085
KSA0KZ,3871
YDMRLA,3721
M1P60Y,3760
47BUD0,4063
MTO35S,3715
MGYISU,3761
09SYAD,3954
LEAMKB,4025
2WGCQ4,3766
16POZQ,3677
9OQ1PX,0
B3NVV7,4051
YB8OE0,3598
RLUOBD,0
4Q2CW1,4203
IMCTMO,4121
DR8QBE,3926
ZFQJC2,4021
2LS0AF,0
X42K17,3818
SHQ230,3829
CIFCOK,4139
13U76N,3919
FOQW0F,3685
3C3XSZ,4092
7M7WRI,0
0NH2US,4398
Y58HCC,0
U6BBKL,3923
B1IVX4,3662
9EMZA3,0
RLT3MR,0
LIOYDE,3939
2J0KMN,4268
BVVPI4,0
JUB7FE,3789
Q6B4XS,4284
6ZNDJF,0
EEHWIH,0
OY08GZ,4257
MMEZEC,0
JZYOEQ,3825
KSLLON,3880
JKURI6,0
ZS408R,0
IYK8W2,0
564025,4043
G0OQWC,0
D0KAO8,3920
QL240N,0
044LNX,3914
SI8Q0L,0
1Q8GKB,3771
XPY0DN,0
7FJAEN,4036
INB7FZ,0
0G42R2,4054
1YS3ZW,0
97090T,3918
ZCS469,0
Q8C3PW,0
5BAGC9,0
ZHWFHK,3732
L1OZS0,0
AB30SM,3830
2ZFY63,4010
8WLMIW,0
R1LSX9,0
010A85,0
AMVPX0,4071
CJKQ8I,0
Z4YJNP,3922
J8HRXY,4154
53L8FT,0
N05Q06,0
VWWXTA,0
EVH36H,0
MZ3QD5,0
RRW5P0,3939
UQ3G7J,0
PHDXK8,0
6LL1K9,0
V5DJIP,0
C1O37V,3894
W7U1PX,4058
BU5XAC,0
0C6CB8,0
QL1052,0
NKHRDC,0
JJX6HR,0
UGZ35N,0
0N9GAP,0
UM3PXK,4010
R33C81,3953
9L3R3Z,4219
7N4XOM,0
65PR05,0
5O6W67,0
N6EFH5,0
R2ADG3,0
GK4E07,3937
AH3Q81,0
Y5G6JY,0
VMFMJ2,0
8X94BN,0
KL1SU9,0
8A6AII,0
KEDIMY,0
VFHGQ4,0
53LQB9,0
OSK0CF,0
9CD6NT,3901
ZLHI4X,0
UYCYOI,0
HMRMTM,3880
IKKUWX,0
OL3O22,0
ZSQY7N,0
YKVWFB,0
2VVCVW,0
K74JAE,0
XGPWLB,0
WF9J91,3826
P5NLWS,0
MOY444,4132
HL0J3L,0
1FDE11,4366
R2IPSX,0
MN8Q84,0
XO4VOF,4036
UUNSCA,3860
XP30FS,0
OAKKH9,4086
PRWVE9,3936
12AC84,0
D74V3X,0
SDMFYX,0
GS8W96,0
AQPHLG,4106
WLPIH0,3751
MDR9BC,4030
6A7WW4,0
5PRTI2,0
VR0KVK,0
O4QSFT,4020
6GOASP,0
0HFL29,0
BMYQJ8,3887
KF7WEE,0
KBPP70,4125
JNAXDJ,3861
T5U6O9,4067
MLBZRG,4374
1WIEX7,3793
TCMDOV,3931
6Z93SS,0
0BTWTU,3731
I5JXN2,3876
0IOB07,4139
JM3CN4,3647
P744X1,3633
ZMRJUH,0
2GC7YO,4073
YLJMI6,3941
3VW5DX,4008
B9CQAD,4175
R1OH6S,4027
8QIMJ5,3860
JL10F9,0
15OYNM,4342
9POY01,3801
JCCUG2,3777
KDDLCQ,0
JUE9XP,3963
SVFSTR,3738
T0CVMT,4115
3FQNSX,0
Z8CP0R,4216
CT4BXS,0
68T7VW,4209
1U4IIK,3722
AQ1QM0,4019
XNX4EY,3937
V0W6H3,4145
POWC1S,3731
D5RTQU,0
FONBA3,4056
BJEKTT,0
IKOYGG,4246
N42QKF,0
H3T1XO,4139
2HR2D6,3724
O1CIFK,4271
KRCW8S,3847
ZYUAJ8,0
XRJ0H5,3928
B0A1WL,4005
96WVGA,3836
6HR9PB,3968
3O4EQX,0
0WKMI6,0
M8KF1E,0
X8BGBT,3924
L3DDHC,4087
G472R9,4399
H64R06,4030
9V3PYJ,4241
EAAWYL,3972
MGZZEW,0
5GSHTS,4105
0G40QY,4005
3LPWSP,3989
QT8ZJ0,0
NBJO6X,3994
4GUYLW,4167
6NJM2L,4199
IVAP1S,4060
X27HPL,4242
Z17I3L,0
E3JLKC,3625
IJ9RIQ,3814
FSOQAN,0
VAUKLY,3782
1X44WK,3950
FS7SX2,4173
7VIC2W,0
O5T4QM,3710
ZTMEE9,3720
ZIIWST,0
FOBM63,4077
YRP9CS,3652
GCV6BV,3801
K7BX7J,0
2HX0YG,3886
O8V5M0,4247
K6KTO9,4069
X192U6,3944
I5V6FG,4373
ANFZOR,0
D70K91,3669
4KZGQ0,3798
YWG2EP,3897
2HUY2I,3927
862X02,4007
BRL878,3922
YF3S3W,3502
9I4Q4T,3948
H9X3CD,4119
RSJ154,4002
3260HM,3968
OF2VT0,4267
DFV4BB,4034
Y73L92,4062
4GXFV7,4291
V0L44B,0
ZNUJF6,4155
4E3WHI,3885
T7O6SZ,0
W2R5X5,4078
GW4PYF,3884
JIC6MG,4252
ALENQG,4058
2OQJJH,0
LGZY7B,4079
2DRVCT,3941
WLDBC7,4021
MI04P7,3837
79NM8W,3958
WBXRP1,0
Q56L5Y,4337
A9L9CD,4130
MBEFPX,4198
AD6BM2,4264
IVPWSM,0
E6PNFC,4281
96BBH5,4024
56NZY5,4311
X44PQ5,4020
ZQ7HJX,3895
EECTI3,3917
9FVNAB,4104
23US2I,4119
DIM0LG,4155
1DP728,3945
7UIING,0
5HTX6B,4032
YHYNSO,4243
W98HB9,4297
58P6HY,4323
Q9CLCO,4065
7WSTN9,4298
AC6WUN,4132
Z6HQ86,4082
UPJI8A,3983
8OJLTE,4130
5ROYVP,4085
6HWN0L,4044
GLTV85,4119
3NYRDE,0
RS2LS4,3759
M61FBH,4133
5T4WJF,4106
0069AH,3906
10FVW7,3864
L9XE0P,4135
8Y2NWS,0
YR9ZMN,4333
E645PU,4214
MH1LKA,3656
IJ7Y34,3715
4M73SR,3945
837JQB,3847
NDJYF1,4178
07DBZD,3961
0WQ456,3972
DT6VJ9,4307
YO5UIV,4159
7W9X22,0
XJFFJ5,3975
87IQL6,4274
PVLRKN,3933
AM9U0S,3973
SG3VD0,0
KNDGX7,4211
HDXW1X,3737
HQC5IG,0
M4YMWB,3852
SZMC4E,3655
LC7N5Q,4266
O7OR68,4117
6O5XSO,3989
YJWJLV,3757
7QIPLL,3981
BADOD1,4164
7HQZXK,3912
N9NIRT,3864
8IFANT,4075
LQAIDQ,0
1UO67G,4131
B62DMQ,4186
C7HY5I,0
WHAII9,0
4RHYNC,3923
GY5LZF,3883
XG3ZQJ,4101
095TGF,3993
GVZ75T,4097
A2OHO4,3868
1V8EBB,4197
IYYFJQ,3906
Z97W6J,4006
GGLWDN,4024
UL2SLU,4134
BZJUA9,4260
D3PDQG,4095
ODLPXI,4080
F52JRQ,3947
YLVP2C,4075
LC19QE,4164
4GC7KI,3913
885T41,3932
UCNTO8,3948
GFV654,3809
8WZ6O0,4132
R3PMFJ,4178
CX8B8Z,3750
UXJNF3,4059
OM2AZD,4159
SBP251,3984
2Y6LU0,3839
DQE0YJ,4154
ZTEAKC,4558
WWAHKO,4065
MHZPD7,4085
VO6ZUP,3700
QST4AD,4027
RVL51L,3929
SZGB6B,4024
324OWU,3479
17XI12,4289
3NORRT,4210
AFJV8Z,4056
4X9YKF,3915
PY8O8H,3985
S52U06,4158
ASQQNZ,0
AP1P22,3631
ZEGPBW,3672
5KHGBC,4143
JTTIGY,0
QFGITC,0
C6X24T,3843
ABL1XK,4233
J85PT8,3909
DEGFBM,4005
FIY7M8,0
G2X9J4,4085
YG02FL,4033
RXGU9A,3776
6H23C1,4209
1O4PQQ,4353
50LRI4,3876
ODDNHL,0
IWDT1O,4403
3FXNZN,4362
MLAQOE,3888
J36NU6,4132
SR8AMU,4017
EA7JK1,4307
LD90VH,3824
SGYX0N,0
VZ4LZ6,4100
TSCBBV,3928
3F8KRI,4238
5MEDFG,4054
4D6UBX,3748
UZT4UI,4103
