id,frequency
4WDZ33,493
OT4EOH,466
RRW5P0,453
8QIMJ5,453
JCCUG2,459
FONBA3,483
IKOYGG,484
2HX0YG,468
I5V6FG,451
1DP728,494
NDJYF1,451
5ZT0CB,461
5BWLHZ,466
557PGA,514
8ROCZF,485
64BEDG,467
FXOBWD,505
Q8C69R,453
8DSIE3,493
C938XL,495
Z5IQ4H,539
HC0YJT,484
XKODWK,474
240WDP,495
09818D,469
E6DUQI,458
77P2UY,484
9VL3T1,491
BVZY8O,483
U64T09,459
U6PUPR,475
4ERJJ6,475
O28GGT,487
T8NV0Q,458
1IW0BC,507
SZ6B14,460
0GM09D,475
92X34E,478
GJA732,531
BFRKF9,487
1XDD8H,473
8X86PU,535
BWRWC9,454
U49GKC,471
S25BL7,520
