id,frequency
AEWB71,289
UAAXGA,234
53LSPJ,231
FLO8WI,292
TKCDLW,314
4WDZ33,493
S0BPRS,343
EU9KM9,335
59HPT0,339
6YILX5,317
Z164JF,148
OT4EOH,466
0BNT80,329
J9BL4S,351
LL69UU,203
QW5QOG,343
LYLO05,344
OVP1B8,227
X7HXNW,288
ZH4JWZ,373
K3G01K,401
KSA0KZ,336
YDMRLA,330
M1P60Y,278
47BUD0,292
MTO35S,341
MGYISU,408
09SYAD,234
LEAMKB,319
2WGCQ4,292
16POZQ,356
9OQ1PX,0
B3NVV7,299
YB8OE0,280
RLUOBD,0
4Q2CW1,321
IMCTMO,236
DR8QBE,380
ZFQJC2,275
2LS0AF,0
X42K17,351
SHQ230,417
CIFCOK,272
13U76N,326
FOQW0F,178
3C3XSZ,344
7M7WRI,0
0NH2US,323
Y58HCC,0
U6BBKL,353
B1IVX4,233
9EMZA3,0
RLT3MR,0
LIOYDE,359
2J0KMN,240
BVVPI4,0
JUB7FE,128
Q6B4XS,253
6ZNDJF,0
EEHWIH,0
OY08GZ,352
MMEZEC,0
JZYOEQ,340
KSLLON,310
JKURI6,0
ZS408R,0
IYK8W2,0
564025,356
G0OQWC,0
D0KAO8,286
QL240N,0
044LNX,298
SI8Q0L,0
1Q8GKB,181
XPY0DN,0
7FJAEN,209
INB7FZ,0
0G42R2,336
1YS3ZW,0
97090T,339
ZCS469,0
Q8C3PW,0
5BAGC9,0
ZHWFHK,237
L1OZS0,0
AB30SM,217
2ZFY63,443
8WLMIW,0
R1LSX9,0
010A85,0
AMVPX0,207
CJKQ8I,0
Z4YJNP,220
J8HRXY,209
53L8FT,0
N05Q06,0
VWWXTA,0
EVH36H,0
MZ3QD5,0
RRW5P0,453
UQ3G7J,0
PHDXK8,0
6LL1K9,0
V5DJIP,0
C1O37V,242
W7U1PX,365
BU5XAC,0
0C6CB8,0
QL1052,0
NKHRDC,0
JJX6HR,0
UGZ35N,0
0N9GAP,0
UM3PXK,327
R33C81,316
9L3R3Z,235
7N4XOM,0
65PR05,0
5O6W67,0
N6EFH5,0
R2ADG3,0
GK4E07,261
AH3Q81,0
Y5G6JY,0
VMFMJ2,0
8X94BN,0
KL1SU9,0
8A6AII,0
KEDIMY,0
VFHGQ4,0
53LQB9,0
OSK0CF,0
9CD6NT,333
ZLHI4X,0
UYCYOI,0
HMRMTM,267
IKKUWX,0
OL3O22,0
ZSQY7N,0
YKVWFB,0
2VVCVW,0
K74JAE,0
XGPWLB,0
WF9J91,290
P5NLWS,0
MOY444,229
HL0J3L,0
1FDE11,247
R2IPSX,0
MN8Q84,0
XO4VOF,251
UUNSCA,364
XP30FS,0
OAKKH9,271
PRWVE9,288
12AC84,0
D74V3X,0
SDMFYX,0
GS8W96,0
AQPHLG,356
WLPIH0,148
MDR9BC,376
6A7WW4,0
5PRTI2,0
VR0KVK,0
O4QSFT,303
6GOASP,0
0HFL29,0
BMYQJ8,306
KF7WEE,0
KBPP70,344
JNAXDJ,302
T5U6O9,412
MLBZRG,442
1WIEX7,252
TCMDOV,295
6Z93SS,0
0BTWTU,239
I5JXN2,371
0IOB07,218
JM3CN4,209
P744X1,218
ZMRJUH,0
2GC7YO,394
YLJMI6,249
3VW5DX,258
B9CQAD,384
R1OH6S,373
8QIMJ5,453
JL10F9,0
15OYNM,159
9POY01,381
JCCUG2,459
KDDLCQ,0
JUE9XP,248
SVFSTR,273
T0CVMT,414
3FQNSX,0
Z8CP0R,338
CT4BXS,0
68T7VW,270
1U4IIK,302
AQ1QM0,227
XNX4EY,345
V0W6H3,316
POWC1S,150
D5RTQU,0
FONBA3,483
BJEKTT,0
IKOYGG,484
N42QKF,0
H3T1XO,359
2HR2D6,287
O1CIFK,349
KRCW8S,380
ZYUAJ8,0
XRJ0H5,435
B0A1WL,290
96WVGA,333
6HR9PB,211
3O4EQX,0
0WKMI6,0
M8KF1E,0
X8BGBT,283
L3DDHC,239
G472R9,254
H64R06,298
9V3PYJ,320
EAAWYL,272
MGZZEW,0
5GSHTS,418
0G40QY,250
3LPWSP,350
QT8ZJ0,0
NBJO6X,164
4GUYLW,308
6NJM2L,262
IVAP1S,195
X27HPL,350
Z17I3L,0
E3JLKC,310
IJ9RIQ,156
FSOQAN,0
VAUKLY,270
1X44WK,249
FS7SX2,303
7VIC2W,0
O5T4QM,141
ZTMEE9,232
ZIIWST,0
FOBM63,329
YRP9CS,364
GCV6BV,203
K7BX7J,0
2HX0YG,468
O8V5M0,249
K6KTO9,254
X192U6,350
I5V6FG,451
ANFZOR,0
D70K91,196
4KZGQ0,188
YWG2EP,299
2HUY2I,294
862X02,172
BRL878,207
YF3S3W,269
9I4Q4T,350
H9X3CD,226
RSJ154,292
3260HM,225
OF2VT0,214
DFV4BB,291
Y73L92,410
4GXFV7,364
V0L44B,0
ZNUJF6,327
4E3WHI,360
T7O6SZ,0
W2R5X5,258
GW4PYF,361
JIC6MG,311
ALENQG,354
2OQJJH,0
LGZY7B,374
2DRVCT,367
WLDBC7,346
MI04P7,296
79NM8W,181
WBXRP1,0
Q56L5Y,354
A9L9CD,261
MBEFPX,229
AD6BM2,391
IVPWSM,0
E6PNFC,385
96BBH5,344
56NZY5,415
X44PQ5,399
ZQ7HJX,295
EECTI3,323
9FVNAB,246
23US2I,343
DIM0LG,374
1DP728,494
7UIING,0
5HTX6B,214
YHYNSO,263
W98HB9,254
58P6HY,410
Q9CLCO,159
7WSTN9,213
AC6WUN,364
Z6HQ86,267
UPJI8A,313
8OJLTE,212
5ROYVP,281
6HWN0L,316
GLTV85,210
3NYRDE,0
RS2LS4,350
M61FBH,265
5T4WJF,304
0069AH,428
10FVW7,427
L9XE0P,231
8Y2NWS,0
YR9ZMN,177
E645PU,353
MH1LKA,200
IJ7Y34,210
4M73SR,344
837JQB,371
NDJYF1,451
07DBZD,282
0WQ456,322
DT6VJ9,325
YO5UIV,245
7W9X22,0
XJFFJ5,382
87IQL6,340
PVLRKN,313
AM9U0S,293
SG3VD0,0
KNDGX7,382
HDXW1X,301
HQC5IG,0
M4YMWB,279
SZMC4E,219
LC7N5Q,404
O7OR68,244
6O5XSO,306
YJWJLV,292
7QIPLL,334
BADOD1,273
7HQZXK,335
N9NIRT,303
8IFANT,323
LQAIDQ,0
1UO67G,288
B62DMQ,366
C7HY5I,0
WHAII9,0
4RHYNC,242
GY5LZF,279
XG3ZQJ,347
095TGF,326
GVZ75T,427
A2OHO4,198
1V8EBB,439
IYYFJQ,309
Z97W6J,317
GGLWDN,253
UL2SLU,235
BZJUA9,374
D3PDQG,154
ODLPXI,368
F52JRQ,307
YLVP2C,321
LC19QE,234
4GC7KI,450
885T41,331
UCNTO8,290
GFV654,379
8WZ6O0,321
R3PMFJ,348
CX8B8Z,328
UXJNF3,334
OM2AZD,272
SBP251,312
2Y6LU0,310
DQE0YJ,329
ZTEAKC,294
WWAHKO,353
MHZPD7,382
VO6ZUP,316
QST4AD,283
RVL51L,192
SZGB6B,399
324OWU,248
17XI12,263
3NORRT,277
AFJV8Z,233
4X9YKF,268
PY8O8H,370
S52U06,276
ASQQNZ,0
AP1P22,271
ZEGPBW,257
5KHGBC,264
JTTIGY,0
QFGITC,0
C6X24T,381
ABL1XK,369
J85PT8,290
DEGFBM,258
FIY7M8,0
G2X9J4,260
YG02FL,365
RXGU9A,296
6H23C1,290
1O4PQQ,320
50LRI4,168
ODDNHL,0
IWDT1O,254
3FXNZN,316
MLAQOE,268
J36NU6,383
SR8AMU,330
EA7JK1,248
LD90VH,363
SGYX0N,0
VZ4LZ6,443
TSCBBV,254
3F8KRI,266
5MEDFG,417
4D6UBX,207
UZT4UI,279
D61T8N,371
XZIW0R,409
C4ZXA5,336
OH7EH2,245
922BM8,370
HZAOA9,340
LBUYMZ,228
441AMF,286
SJ50E6,0
VZZ5X0,165
O38KBY,373
SMD87Z,422
YZNYKU,395
R1P1FA,316
RT1MH6,426
3UEIT2,370
6Z6DXI,327
1DYOFK,354
WEN1XS,264
6V7URD,315
CUBAED,423
MBA3G1,301
2ZMJ6C,336
SUCATV,0
84QHWJ,361
SRZ3M2,322
1K2KZZ,204
29SP4J,314
S0BWPT,273
25VIKL,433
O4ZIGX,0
NCLHA4,324
S7YXP1,166
JVOX3F,446
K0H5DN,232
TEITZK,0
W35A8M,238
EZFVK2,318
2YFUSB,355
KVOZ3Z,181
ACCZA8,357
18DRG6,227
8MXEWV,0
Q9DQK3,284
K21HIL,359
BHG1C2,377
9PSYMF,289
Z8Z2GE,256
36GCVQ,269
5ZT0CB,461
GZPA2P,152
4QRT8U,243
MGE8J5,191
0FOSYI,275
6R8SMV,374
V6F4HW,331
JE6TPO,442
80EZ16,413
73J79E,280
EDRQ3M,354
L3JFGX,314
JFIPHC,379
