,mean,std
NUSTAR,0.1106,0.0088
POHM,0.0662,0.0077
RHOSTAR,0.0596,0.0065
PLTH,0.048,0.0062
NEL,0.034,0.006
WFFORM,0.0313,0.0054
BETASTAR,0.0279,0.0041
ELMTYPE_TYPE-I,0.0085,0.0027
DWDIA,0.0085,0.0037
WALMAT_C,0.0064,0.0017
AUXHEAT_NB,0.005,0.0022
ELMTYPE_TYPE-III,0.0049,0.0012
EVAP_NONE,0.0042,0.0018
AUXHEAT_NBIC,0.0039,0.0019
ICSCHEME_HMIN,0.0036,0.0012
EVAP_BE,0.0033,0.0009
AUXHEAT_NBEC,0.0028,0.0006
CONFIG_SN,0.0025,0.0009
ECHMODE_X,0.0021,0.0006
ICSCHEME_H2NDHARM,0.0012,0.0002
TOK_JT60U,0.0009,0.0001
ELMTYPE_TYPE-RF,0.0009,0.0001
PREMAG_UNKNOWN,0.0008,0.0004
AUXHEAT_NBECIC,0.0007,0.0001
ELMTYPE_TYPE-V,0.0005,0.0002
ELMTYPE_TYPE-1+2,0.0,0.0
ICSCHEME_HE3MIN-T,0.0,0.0
LIMMAT_C-W,0.0,0.0
LIMMAT_MO,0.0,0.0
ELMTYPE_UNKNOWN,0.0,0.0
LIMMAT_NONE,0.0,0.0
LIMMAT_UNKNOWN,0.0,0.0
ELMTYPE_TYPE-II,0.0,0.0
LIMMAT_W,0.0,0.0
ELMTYPE_TYPE-1+5,0.0,0.0
ICSCHEME_UNKNOWN,0.0,0.0
ICSCHEME_NONE,0.0,0.0
AUXHEAT_NONE,0.0,0.0
AUXHEAT_EC,0.0,0.0
AUXHEAT_IC,0.0,0.0
EVAP_TI,0.0,0.0
EVAP_SILICON,0.0,0.0
EVAP_DECABOA,0.0,0.0
EVAP_C-H,0.0,0.0
EVAP_C-BO,0.0,0.0
EVAP_C,0.0,0.0
EVAP_BO,0.0,0.0
PELLET_UNKNOWN,0.0,0.0
PELLET_NONE,0.0,0.0
PELLET_H,0.0,0.0
PELLET_GAS-FUEL,0.0,0.0
PELLET_D,0.0,0.0
ECHMODE_UNKNOWN,0.0,0.0
ECHMODE_O,0.0,0.0
ECHMODE_NONE,0.0,0.0
AUXHEAT_UNKNOWN,0.0,0.0
LIMMAT_BE,0.0,0.0
LIMMAT_C,0.0,0.0
DIVMAT_MO,0.0,0.0
DIVMAT_W,0.0,0.0
CONFIG_TOP,0.0,0.0
TOK_JETILW,0.0,0.0
TOK_JET,0.0,0.0
TOK_D3D,0.0,0.0
TOK_COMPASS,0.0,0.0
TOK_CMOD,0.0,0.0
TOK_AUGW,0.0,0.0
TOK_AUG,0.0,0.0
TOK_ASDEX,0.0,0.0
CONFIG_UNKNOWN,0.0,0.0
CONFIG_SN(U),0.0,0.0
TOK_MAST,0.0,0.0
CONFIG_SN(L),0.0,0.0
CONFIG_MAR,0.0,0.0
CONFIG_LIM,0.0,0.0
CONFIG_IW,0.0,0.0
CONFIG_DND,0.0,0.0
CONFIG_DN,0.0,0.0
CONFIG_BOT,0.0,0.0
PREMAG_YES,0.0,0.0
PREMAG_NO,0.0,0.0
TOK_JFT2M,0.0,0.0
TOK_NSTX,0.0,0.0
DIVMAT_UNKNOWN,0.0,0.0
WALMAT_SS,0.0,0.0
DIVMAT_TI12,0.0,0.0
DIVMAT_SS,0.0,0.0
DIVMAT_NONE,0.0,0.0
DIVMAT_IN,0.0,0.0
DIVMAT_C/BE,0.0,0.0
DIVMAT_C-W,0.0,0.0
DIVMAT_C,0.0,0.0
WALMAT_W,0.0,0.0
WALMAT_UNKNOWN,0.0,0.0
WALMAT_IN/C,0.0,0.0
TOK_PBXM,0.0,0.0
WALMAT_IN,0.0,0.0
WALMAT_CSS,0.0,0.0
WALMAT_C-W,0.0,0.0
WALMAT_AL,0.0,0.0
TOK_TFTR,0.0,0.0
TOK_TDEV,0.0,0.0
TOK_TCV,0.0,0.0
TOK_START,0.0,0.0
TOK_PDX,0.0,0.0
EVAP_UNKNOWN,0.0,0.0
