,mean,std
RHOSTAR,0.2118,0.0116
NUSTAR,0.2064,0.0107
Q95,0.1433,0.0092
BETASTAR,0.0509,0.0057
WFFORM,0.0233,0.0046
PFLOSS,0.0069,0.0032
ELMTYPE_TYPE-III,0.0057,0.0012
ICSCHEME_UNKNOWN,0.0029,0.001
DIVMAT_C/W,0.0008,0.0001
ELMTYPE_TYPE-II,0.0,0.0
ICSCHEME_NONE,0.0,0.0
ICSCHEME_HMIN,0.0,0.0
ICSCHEME_HE3MIN-T,0.0,0.0
ICSCHEME_H2NDHARM,0.0,0.0
ELMTYPE_UNKNOWN,0.0,0.0
ELMTYPE_TYPE-V,0.0,0.0
ELMTYPE_TYPE-RF,0.0,0.0
WFICFORM,0.0,0.0
LIMMAT_W,0.0,0.0
ELMTYPE_TYPE-I,0.0,0.0
ELMTYPE_TYPE-1+5,0.0,0.0
ELMTYPE_TYPE-1+2,0.0,0.0
AUXHEAT_IC,0.0,0.0
LIMMAT_UNKNOWN,0.0,0.0
LIMMAT_NONE,0.0,0.0
LIMMAT_MO,0.0,0.0
LIMMAT_C/W,0.0,0.0
LIMMAT_C,0.0,0.0
LIMMAT_BE,0.0,0.0
AUXHEAT_EC,0.0,0.0
AUXHEAT_NBECIC,0.0,0.0
AUXHEAT_NB,0.0,0.0
PELLET_NONE,0.0,0.0
EVAP_TI,0.0,0.0
EVAP_SILICON,0.0,0.0
EVAP_NONE,0.0,0.0
EVAP_DECABOA,0.0,0.0
EVAP_C-H,0.0,0.0
EVAP_C-BO,0.0,0.0
EVAP_C,0.0,0.0
EVAP_BO,0.0,0.0
EVAP_BE,0.0,0.0
PELLET_UNKNOWN,0.0,0.0
PELLET_H,0.0,0.0
AUXHEAT_NBEC,0.0,0.0
PELLET_GAS-FUEL,0.0,0.0
PELLET_D,0.0,0.0
ECHMODE_X,0.0,0.0
ECHMODE_UNKNOWN,0.0,0.0
ECHMODE_O,0.0,0.0
ECHMODE_NONE,0.0,0.0
AUXHEAT_UNKNOWN,0.0,0.0
AUXHEAT_NONE,0.0,0.0
AUXHEAT_NBIC,0.0,0.0
DIVMAT_UNKNOWN,0.0,0.0
DIVMAT_W,0.0,0.0
DIVMAT_IN,0.0,0.0
DIVMAT_TI,0.0,0.0
TOK_JET,0.0,0.0
TOK_COMPASS,0.0,0.0
TOK_CMOD,0.0,0.0
TOK_AUGW,0.0,0.0
TOK_AUG,0.0,0.0
TOK_ASDEX,0.0,0.0
CONFIG_UNKNOWN,0.0,0.0
CONFIG_TOP,0.0,0.0
CONFIG_SN(U),0.0,0.0
CONFIG_SN(L),0.0,0.0
CONFIG_SN,0.0,0.0
CONFIG_MAR,0.0,0.0
CONFIG_LIM,0.0,0.0
CONFIG_IW,0.0,0.0
CONFIG_DND,0.0,0.0
CONFIG_DN,0.0,0.0
CONFIG_BOT,0.0,0.0
PREMAG_YES,0.0,0.0
PREMAG_UNKNOWN,0.0,0.0
PREMAG_NO,0.0,0.0
DWDIA,0.0,0.0
ZEFFNEO,0.0,0.0
TOK_D3D,0.0,0.0
TOK_JETILW,0.0,0.0
DIVMAT_SS,0.0,0.0
TOK_JFT2M,0.0,0.0
DIVMAT_MO,0.0,0.0
DIVMAT_C/BE,0.0,0.0
DIVMAT_C,0.0,0.0
WALMAT_W,0.0,0.0
WALMAT_UNKNOWN,0.0,0.0
WALMAT_SS,0.0,0.0
WALMAT_IN/C,0.0,0.0
WALMAT_IN,0.0,0.0
WALMAT_C/W,0.0,0.0
WALMAT_C/SS,0.0,0.0
WALMAT_C,0.0,0.0
WALMAT_AL,0.0,0.0
TOK_TFTR,0.0,0.0
TOK_TDEV,0.0,0.0
TOK_TCV,0.0,0.0
TOK_START,0.0,0.0
TOK_PDX,0.0,0.0
TOK_PBXM,0.0,0.0
TOK_NSTX,0.0,0.0
TOK_MAST,0.0,0.0
TOK_JT60U,0.0,0.0
EVAP_UNKNOWN,0.0,0.0
