id,frequency
AEWB71,8297
UAAXGA,8302
53LSPJ,8320
FLO8WI,8320
TKCDLW,8297
4WDZ33,8288
S0BPRS,8251
EU9KM9,8312
59HPT0,8292
6YILX5,8305
Z164JF,8298
OT4EOH,8331
0BNT80,8290
J9BL4S,8313
LL69UU,8314
QW5QOG,8288
LYLO05,8314
OVP1B8,8285
X7HXNW,8303
ZH4JWZ,8294
K3G01K,8290
KSA0KZ,8296
YDMRLA,8281
M1P60Y,8248
47BUD0,8302
MTO35S,8304
MGYISU,8305
09SYAD,8307
LEAMKB,8317
2WGCQ4,8283
16POZQ,8304
9OQ1PX,0
B3NVV7,8300
YB8OE0,8229
RLUOBD,0
4Q2CW1,8255
IMCTMO,8293
DR8QBE,8319
ZFQJC2,8303
2LS0AF,0
X42K17,8316
SHQ230,8297
CIFCOK,8333
13U76N,8252
FOQW0F,8293
3C3XSZ,8301
7M7WRI,0
0NH2US,8300
Y58HCC,0
U6BBKL,8300
B1IVX4,8319
9EMZA3,0
RLT3MR,0
LIOYDE,8287
2J0KMN,8308
BVVPI4,0
JUB7FE,8302
Q6B4XS,8296
6ZNDJF,0
EEHWIH,0
OY08GZ,8307
MMEZEC,0
JZYOEQ,8310
KSLLON,8311
JKURI6,0
ZS408R,0
IYK8W2,0
564025,8296
G0OQWC,0
D0KAO8,8303
QL240N,0
044LNX,8310
SI8Q0L,0
1Q8GKB,8298
XPY0DN,0
7FJAEN,8309
INB7FZ,0
0G42R2,8296
1YS3ZW,0
97090T,8304
ZCS469,0
Q8C3PW,0
5BAGC9,0
ZHWFHK,8321
L1OZS0,0
AB30SM,8310
2ZFY63,8287
8WLMIW,0
R1LSX9,0
010A85,0
AMVPX0,8292
CJKQ8I,0
Z4YJNP,8293
J8HRXY,8314
53L8FT,0
N05Q06,0
VWWXTA,0
EVH36H,0
MZ3QD5,0
RRW5P0,8296
UQ3G7J,0
PHDXK8,0
6LL1K9,0
V5DJIP,0
C1O37V,8318
W7U1PX,8306
BU5XAC,0
0C6CB8,0
QL1052,0
NKHRDC,0
JJX6HR,0
UGZ35N,0
0N9GAP,0
UM3PXK,8296
R33C81,8303
9L3R3Z,8302
7N4XOM,0
65PR05,0
5O6W67,0
N6EFH5,0
R2ADG3,0
GK4E07,8294
AH3Q81,0
Y5G6JY,0
VMFMJ2,0
8X94BN,0
KL1SU9,0
8A6AII,0
KEDIMY,0
VFHGQ4,0
53LQB9,0
OSK0CF,0
9CD6NT,8303
ZLHI4X,0
UYCYOI,0
HMRMTM,8305
IKKUWX,0
OL3O22,0
ZSQY7N,0
YKVWFB,0
2VVCVW,0
K74JAE,0
XGPWLB,0
WF9J91,8285
P5NLWS,0
MOY444,8275
HL0J3L,0
